log(T),Si0+,Si1+,Si2+,Si3+,Si4+,Si5+,Si6+,Si7+,Si8+,Si9+,Si10+,Si11+,Si12+,Si13+,Si14+
6.40,15.000,15.000,15.000,14.525,10.847,8.116,5.856,4.166,2.873,1.938,1.225,0.793,0.116,4.428,9.749
6.50,15.000,15.000,15.000,15.000,12.832,9.904,7.436,5.524,3.986,2.789,1.776,1.033,0.051,3.247,7.349
6.60,15.000,15.000,15.000,15.000,14.628,11.514,8.851,6.732,4.968,3.534,2.255,1.242,0.031,2.327,5.437
6.70,15.000,15.000,15.000,15.000,15.000,12.953,10.104,7.793,5.819,4.168,2.650,1.401,0.030,1.608,3.907
6.80,15.000,15.000,15.000,15.000,15.000,14.266,11.239,8.748,6.576,4.724,2.993,1.538,0.055,1.061,2.691
6.90,15.000,15.000,15.000,15.000,15.000,15.000,12.318,9.655,7.297,5.256,3.332,1.696,0.126,0.671,1.747
7.00,15.000,15.000,15.000,15.000,15.000,15.000,13.400,10.574,8.040,5.822,3.719,1.922,0.272,0.439,1.051
7.10,15.000,15.000,15.000,15.000,15.000,15.000,14.534,11.552,8.850,6.464,4.197,2.251,0.517,0.366,0.585
7.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.595,9.734,7.188,4.766,2.682,0.857,0.428,0.313
7.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.672,10.657,7.958,5.390,3.172,1.249,0.573,0.170
7.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.744,11.582,8.735,6.027,3.679,1.650,0.752,0.097
7.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.488,9.499,6.655,4.178,2.039,0.935,0.058
7.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.369,10.241,7.265,4.661,2.407,1.113,0.037
7.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.222,10.960,7.855,5.125,2.754,1.280,0.024
7.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.658,8.425,5.571,3.080,1.437,0.017
7.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.337,8.979,6.000,3.389,1.584,0.012
8.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.998,9.517,6.415,3.683,1.724,0.008
8.10,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.645,10.042,6.818,3.966,1.858,0.006
8.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.279,10.557,7.211,4.240,1.987,0.005
8.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.904,11.064,7.598,4.508,2.114,0.003
8.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.564,7.979,4.772,2.238,0.003
8.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.061,8.358,5.034,2.362,0.002
8.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.556,8.737,5.296,2.486,0.001
8.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.051,9.116,5.560,2.611,0.001
8.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.548,9.497,5.827,2.738,0.001
8.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.047,9.883,6.099,2.868,0.001
9.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.551,10.273,6.376,3.001,0.000
