log(T),Ar0+ ,Ar1+,Ar2+,Ar3+,Ar4+,Ar5+,Ar6+,Ar7+,Ar8+,Ar9+,Ar10+,Ar11+,Ar12+,Ar13+,Ar14+,Ar15+,Ar16+,Ar17+,Ar18+
6.7,15,15,15,15,15,14.79,11.78,8.996,6.473,4.824,3.49,2.497,1.744,1.238,0.823,0.637,0.268,4.187,8.915
6.8,15,15,15,15,15,15,13.919,10.978,8.304,6.452,4.904,3.685,2.697,1.935,1.238,0.764,0.122,3.08,6.778
6.9,15,15,15,15,15,15,15,12.838,10.014,7.97,6.223,4.796,3.592,2.597,1.65,0.923,0.071,2.253,5.109
7,15,15,15,15,15,15,15,14.553,11.58,9.355,7.422,5.799,4.395,3.187,2.016,1.068,0.056,1.612,3.775
7.1,15,15,15,15,15,15,15,15,13.033,10.637,8.527,6.721,5.13,3.724,2.35,1.207,0.068,1.116,2.705
7.2,15,15,15,15,15,15,15,15,14.419,11.86,9.582,7.602,5.834,4.242,2.684,1.367,0.118,0.747,1.858
7.3,15,15,15,15,15,15,15,15,15,13.069,10.631,8.485,6.55,4.782,3.053,1.578,0.224,0.502,1.21
7.4,15,15,15,15,15,15,15,15,15,14.301,11.709,9.406,7.311,5.377,3.489,1.865,0.406,0.382,0.747
7.5,15,15,15,15,15,15,15,15,15,15,12.831,10.377,8.129,6.035,3.997,2.231,0.665,0.377,0.446
7.6,15,15,15,15,15,15,15,15,15,15,13.982,11.381,8.987,6.741,4.559,2.657,0.979,0.454,0.266
7.7,15,15,15,15,15,15,15,15,15,15,15,12.395,9.858,7.466,5.146,3.109,1.316,0.578,0.163
7.8,15,15,15,15,15,15,15,15,15,15,15,13.396,10.722,8.189,5.734,3.566,1.656,0.72,0.104
7.9,15,15,15,15,15,15,15,15,15,15,15,14.378,11.569,8.899,6.313,4.016,1.986,0.868,0.069
8,15,15,15,15,15,15,15,15,15,15,15,15,12.396,9.592,6.878,4.454,2.303,1.013,0.047
8.1,15,15,15,15,15,15,15,15,15,15,15,15,13.203,10.269,7.428,4.878,2.607,1.155,0.033
8.2,15,15,15,15,15,15,15,15,15,15,15,15,13.992,10.93,7.965,5.29,2.899,1.291,0.023
8.3,15,15,15,15,15,15,15,15,15,15,15,15,14.764,11.577,8.49,5.692,3.182,1.424,0.017
8.4,15,15,15,15,15,15,15,15,15,15,15,15,15,12.213,9.006,6.086,3.457,1.554,0.012
8.5,15,15,15,15,15,15,15,15,15,15,15,15,15,12.84,9.514,6.474,3.727,1.682,0.009
8.6,15,15,15,15,15,15,15,15,15,15,15,15,15,13.46,10.016,6.858,3.995,1.809,0.007
8.7,15,15,15,15,15,15,15,15,15,15,15,15,15,14.076,10.516,7.24,4.262,1.936,0.005
8.8,15,15,15,15,15,15,15,15,15,15,15,15,15,14.69,11.016,7.623,4.53,2.065,0.004
8.9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11.516,8.008,4.801,2.195,0.003
9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.019,8.397,5.077,2.328,0.002
