log(T),S0+,S1+,S2+,S3+,S4+,S5+,S6+,S7+,S8+,S9+,S10+,S11+,S12+,S13+,S14+,S15+,S16+
8.10,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.860,8.670,5.806,3.265,1.491,0.015
8.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.510,9.198,6.212,3.551,1.626,0.011
8.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.149,9.717,6.609,3.829,1.757,0.008
8.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.779,10.228,7.000,4.102,1.886,0.006
8.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.402,10.734,7.387,4.372,2.014,0.004
8.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.238,7.773,4.641,2.142,0.003
8.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.740,8.159,4.911,2.271,0.002
8.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.244,8.546,5.185,2.401,0.002
8.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.750,8.938,5.462,2.534,0.001
9.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.260,9.334,5.745,2.670,0.001
