log(T),H0+,H1+,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,8.835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,8.939,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,9.043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4,9.148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,9.253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,9.358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.7,9.463,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.8,9.569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,9.675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
log(T),He0+,He1+,He2+,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,8.813,15,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,0,6.135,15,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,0,3.98,15,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,0.003,2.24,13.153,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,0.061,0.885,8.981,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,0.496,0.167,5.896,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,1.295,0.023,3.845,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,2.043,0.006,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,
4.8,2.65,0.04,1.071,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,3.265,0.295,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.052,0.884,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,4.827,1.527,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,5.511,2.092,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,6.116,2.571,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,6.658,2.979,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,7.15,3.329,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,7.603,3.633,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,8.022,3.899,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,8.413,4.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,8.779,4.346,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.125,4.538,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,9.452,4.713,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,9.764,4.874,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,10.061,5.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,10.346,5.164,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,10.621,5.296,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,10.886,5.422,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,11.143,5.542,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,11.392,5.658,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,11.636,5.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.874,5.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,12.109,5.988,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,12.341,6.095,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,12.57,6.201,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,12.796,6.306,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,13.02,6.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,13.242,6.514,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,13.462,6.617,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8,13.681,6.721,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,13.899,6.824,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14.115,6.927,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,14.332,7.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,14.547,7.133,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,14.762,7.237,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.4,14.977,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,15,7.445,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,15,7.549,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.7,15,7.653,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.8,15,7.758,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,15,7.863,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,7.968,0,,,,,,,,,,,,,,,,,,,,,,,,,,
log(T),Li0+,Li1+,Li2+,Li3+,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.408,0.002,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,3.095,0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,3.667,0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,4.147,0,14.841,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,4.553,0,12.035,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,4.897,0,9.228,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,5.192,0,6.625,15,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,5.445,0,4.531,14.616,,,,,,,,,,,,,,,,,,,,,,,,,
4.8,5.663,0.001,2.841,10.276,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,5.861,0.014,1.486,6.79,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.141,0.157,0.517,4.106,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,6.694,0.644,0.115,2.317,,,,,,,,,,,,,,,,,,,,,,,,,
5.2,7.294,1.253,0.06,1.137,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,7.857,1.868,0.234,0.395,,,,,,,,,,,,,,,,,,,,,,,,,
5.4,8.542,2.609,0.691,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,9.263,3.367,1.237,0.026,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,9.936,4.05,1.735,0.008,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,10.558,4.654,2.163,0.003,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,11.139,5.195,2.531,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,11.689,5.685,2.849,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.21,6.132,3.127,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,12.706,6.545,3.371,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,13.179,6.929,3.589,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,13.631,7.287,3.784,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,14.066,7.624,3.96,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,14.486,7.944,4.122,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,14.894,8.248,4.272,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,15,8.538,4.41,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,15,8.815,4.539,0,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,15,9.081,4.659,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,9.338,4.773,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,15,9.587,4.883,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.2,15,9.832,4.99,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.3,15,10.072,5.097,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,15,10.308,5.202,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,15,10.541,5.306,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,15,10.771,5.409,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,15,10.997,5.512,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.8,15,11.221,5.613,0,,,,,,,,,,,,,,,,,,,,,,,,,
7.9,15,11.443,5.714,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,11.664,5.815,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,15,11.883,5.916,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.2,15,12.101,6.017,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,15,12.319,6.119,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.4,15,12.536,6.221,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,15,12.752,6.324,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,15,12.968,6.427,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.7,15,13.184,6.53,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.8,15,13.399,6.634,0,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,15,13.615,6.738,0,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,13.83,6.843,0,,,,,,,,,,,,,,,,,,,,,,,,,
log(T),Be0+,Be1+,Be2+,Be3+,Be4+,,,,,,,,,,,,,,,,,,,,,,,,
4,0.021,1.335,6.887,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.1,0.114,0.637,4.177,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.2,0.379,0.24,2.156,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.3,0.865,0.161,0.762,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.4,1.797,0.603,0.134,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.987,1.363,0.02,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.6,4.072,2.065,0.004,15,15,,,,,,,,,,,,,,,,,,,,,,,,
4.7,5.007,2.656,0.001,12.94,15,,,,,,,,,,,,,,,,,,,,,,,,
4.8,5.812,3.149,0,10.076,15,,,,,,,,,,,,,,,,,,,,,,,,
4.9,6.513,3.564,0,7.419,15,,,,,,,,,,,,,,,,,,,,,,,,
5,7.127,3.914,0,5.28,14.466,,,,,,,,,,,,,,,,,,,,,,,,
5.1,7.671,4.212,0,3.552,10.362,,,,,,,,,,,,,,,,,,,,,,,,
5.2,8.149,4.461,0.003,2.155,7.053,,,,,,,,,,,,,,,,,,,,,,,,
5.3,8.577,4.673,0.04,1.058,4.411,,,,,,,,,,,,,,,,,,,,,,,,
5.4,9.064,4.957,0.248,0.365,2.467,,,,,,,,,,,,,,,,,,,,,,,,
5.5,9.683,5.384,0.688,0.134,1.217,,,,,,,,,,,,,,,,,,,,,,,,
5.6,10.367,5.887,1.239,0.22,0.469,,,,,,,,,,,,,,,,,,,,,,,,
5.7,11.187,6.535,1.927,0.578,0.14,,,,,,,,,,,,,,,,,,,,,,,,
5.8,12.066,7.25,2.658,1.048,0.042,,,,,,,,,,,,,,,,,,,,,,,,
5.9,12.909,7.938,3.334,1.496,0.014,,,,,,,,,,,,,,,,,,,,,,,,
6,13.698,8.576,3.936,1.888,0.006,,,,,,,,,,,,,,,,,,,,,,,,
6.1,14.437,9.17,4.473,2.226,0.003,,,,,,,,,,,,,,,,,,,,,,,,
6.2,15,9.726,4.956,2.519,0.001,,,,,,,,,,,,,,,,,,,,,,,,
6.3,15,10.249,5.394,2.775,0.001,,,,,,,,,,,,,,,,,,,,,,,,
6.4,15,10.745,5.795,3.001,0,,,,,,,,,,,,,,,,,,,,,,,,
6.5,15,11.215,6.164,3.202,0,,,,,,,,,,,,,,,,,,,,,,,,
6.6,15,11.664,6.506,3.385,0,,,,,,,,,,,,,,,,,,,,,,,,
6.7,15,12.093,6.827,3.551,0,,,,,,,,,,,,,,,,,,,,,,,,
6.8,15,12.505,7.128,3.703,0,,,,,,,,,,,,,,,,,,,,,,,,
6.9,15,12.902,7.412,3.846,0,,,,,,,,,,,,,,,,,,,,,,,,
7,15,13.287,7.684,3.979,0,,,,,,,,,,,,,,,,,,,,,,,,
7.1,15,13.66,7.944,4.105,0,,,,,,,,,,,,,,,,,,,,,,,,
7.2,15,14.024,8.194,4.225,0,,,,,,,,,,,,,,,,,,,,,,,,
7.3,15,14.38,8.436,4.339,0,,,,,,,,,,,,,,,,,,,,,,,,
7.4,15,14.73,8.673,4.449,0,,,,,,,,,,,,,,,,,,,,,,,,
7.5,15,15,8.904,4.556,0,,,,,,,,,,,,,,,,,,,,,,,,
7.6,15,15,9.132,4.66,0,,,,,,,,,,,,,,,,,,,,,,,,
7.7,15,15,9.357,4.764,0,,,,,,,,,,,,,,,,,,,,,,,,
7.8,15,15,9.58,4.867,0,,,,,,,,,,,,,,,,,,,,,,,,
7.9,15,15,9.8,4.97,0,,,,,,,,,,,,,,,,,,,,,,,,
8,15,15,10.018,5.072,0,,,,,,,,,,,,,,,,,,,,,,,,
8.1,15,15,10.235,5.174,0,,,,,,,,,,,,,,,,,,,,,,,,
8.2,15,15,10.451,5.275,0,,,,,,,,,,,,,,,,,,,,,,,,
8.3,15,15,10.666,5.377,0,,,,,,,,,,,,,,,,,,,,,,,,
8.4,15,15,10.881,5.478,0,,,,,,,,,,,,,,,,,,,,,,,,
8.5,15,15,11.095,5.579,0,,,,,,,,,,,,,,,,,,,,,,,,
8.6,15,15,11.31,5.681,0,,,,,,,,,,,,,,,,,,,,,,,,
8.7,15,15,11.524,5.783,0,,,,,,,,,,,,,,,,,,,,,,,,
8.8,15,15,11.739,5.886,0,,,,,,,,,,,,,,,,,,,,,,,,
8.9,15,15,11.953,5.989,0,,,,,,,,,,,,,,,,,,,,,,,,
9,15,15,12.168,6.092,0,,,,,,,,,,,,,,,,,,,,,,,,
log(T),B0+,B1+,B2+,B3+,B4+,B5+,,,,,,,,,,,,,,,,,,,,,,,
4,0.382,0.233,9.957,15,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.1,1.029,0.043,7.367,15,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.2,1.516,0.013,5.445,14.843,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.3,1.822,0.007,3.913,10.708,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.4,2.052,0.005,2.668,7.368,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.5,2.265,0.012,1.653,4.664,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.6,2.518,0.068,0.859,2.503,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.7,2.964,0.318,0.397,0.93,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.8,3.929,1.088,0.565,0.19,15,15,,,,,,,,,,,,,,,,,,,,,,,
4.9,5.229,2.193,1.154,0.035,13.989,15,,,,,,,,,,,,,,,,,,,,,,,
5,6.458,3.228,1.743,0.008,11.241,15,,,,,,,,,,,,,,,,,,,,,,,
5.1,7.546,4.124,2.249,0.002,8.543,15,,,,,,,,,,,,,,,,,,,,,,,
5.2,8.508,4.897,2.677,0.001,6.275,15,,,,,,,,,,,,,,,,,,,,,,,
5.3,9.365,5.568,3.037,0,4.446,11.514,,,,,,,,,,,,,,,,,,,,,,,
5.4,10.127,6.148,3.337,0.001,2.965,8.145,,,,,,,,,,,,,,,,,,,,,,,
5.5,10.791,6.635,3.566,0.008,1.772,5.428,,,,,,,,,,,,,,,,,,,,,,,
5.6,11.371,7.043,3.736,0.063,0.869,3.289,,,,,,,,,,,,,,,,,,,,,,,
5.7,11.98,7.486,3.957,0.273,0.347,1.761,,,,,,,,,,,,,,,,,,,,,,,
5.8,12.702,8.046,4.31,0.662,0.206,0.796,,,,,,,,,,,,,,,,,,,,,,,
5.9,13.574,8.762,4.831,1.216,0.375,0.286,,,,,,,,,,,,,,,,,,,,,,,
6,14.572,9.609,5.496,1.889,0.744,0.093,,,,,,,,,,,,,,,,,,,,,,,
6.1,15,10.469,6.186,2.559,1.154,0.033,,,,,,,,,,,,,,,,,,,,,,,
6.2,15,11.288,6.842,3.17,1.531,0.013,,,,,,,,,,,,,,,,,,,,,,,
6.3,15,12.056,7.456,3.718,1.861,0.006,,,,,,,,,,,,,,,,,,,,,,,
6.4,15,12.78,8.033,4.212,2.15,0.003,,,,,,,,,,,,,,,,,,,,,,,
6.5,15,13.465,8.575,4.659,2.403,0.002,,,,,,,,,,,,,,,,,,,,,,,
6.6,15,14.116,9.088,5.067,2.627,0.001,,,,,,,,,,,,,,,,,,,,,,,
6.7,15,14.735,9.574,5.442,2.827,0.001,,,,,,,,,,,,,,,,,,,,,,,
6.8,15,15,10.038,5.79,3.008,0,,,,,,,,,,,,,,,,,,,,,,,
6.9,15,15,10.481,6.114,3.173,0,,,,,,,,,,,,,,,,,,,,,,,
7,15,15,10.905,6.418,3.325,0,,,,,,,,,,,,,,,,,,,,,,,
7.1,15,15,11.312,6.705,3.466,0,,,,,,,,,,,,,,,,,,,,,,,
7.2,15,15,11.706,6.978,3.599,0,,,,,,,,,,,,,,,,,,,,,,,
7.3,15,15,12.088,7.239,3.725,0,,,,,,,,,,,,,,,,,,,,,,,
7.4,15,15,12.459,7.49,3.844,0,,,,,,,,,,,,,,,,,,,,,,,
7.5,15,15,12.822,7.733,3.958,0,,,,,,,,,,,,,,,,,,,,,,,
7.6,15,15,13.178,7.97,4.068,0,,,,,,,,,,,,,,,,,,,,,,,
7.7,15,15,13.529,8.201,4.174,0,,,,,,,,,,,,,,,,,,,,,,,
7.8,15,15,13.874,8.429,4.279,0,,,,,,,,,,,,,,,,,,,,,,,
7.9,15,15,14.216,8.654,4.382,0,,,,,,,,,,,,,,,,,,,,,,,
8,15,15,14.554,8.877,4.486,0,,,,,,,,,,,,,,,,,,,,,,,
8.1,15,15,14.889,9.097,4.588,0,,,,,,,,,,,,,,,,,,,,,,,
8.2,15,15,15,9.315,4.691,0,,,,,,,,,,,,,,,,,,,,,,,
8.3,15,15,15,9.532,4.792,0,,,,,,,,,,,,,,,,,,,,,,,
8.4,15,15,15,9.747,4.894,0,,,,,,,,,,,,,,,,,,,,,,,
8.5,15,15,15,9.962,4.995,0,,,,,,,,,,,,,,,,,,,,,,,
8.6,15,15,15,10.176,5.096,0,,,,,,,,,,,,,,,,,,,,,,,
8.7,15,15,15,10.39,5.198,0,,,,,,,,,,,,,,,,,,,,,,,
8.8,15,15,15,10.604,5.3,0,,,,,,,,,,,,,,,,,,,,,,,
8.9,15,15,15,10.819,5.402,0,,,,,,,,,,,,,,,,,,,,,,,
9,15,15,15,11.033,5.504,0,,,,,,,,,,,,,,,,,,,,,,,
log(T),C0+,C1+,C2+,C3+,C4+,C5+,C6+,,,,,,,,,,,,,,,,,,,,,,
4,0.014,1.487,10.947,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,
4.1,0.203,0.428,7.258,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,
4.2,0.795,0.076,4.809,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,
4.3,1.369,0.019,3.125,13.25,15,15,15,,,,,,,,,,,,,,,,,,,,,,
4.4,1.768,0.013,1.918,9.615,15,15,15,,,,,,,,,,,,,,,,,,,,,,
4.5,2.099,0.043,1.068,6.842,14.727,15,15,,,,,,,,,,,,,,,,,,,,,,
4.6,2.476,0.164,0.508,4.733,10.382,15,15,,,,,,,,,,,,,,,,,,,,,,
4.7,2.97,0.423,0.207,3.17,7.02,15,15,,,,,,,,,,,,,,,,,,,,,,
4.8,3.546,0.778,0.085,2.01,4.404,15,15,,,,,,,,,,,,,,,,,,,,,,
4.9,4.158,1.177,0.068,1.131,2.346,15,15,,,,,,,,,,,,,,,,,,,,,,
5,4.905,1.717,0.241,0.583,0.836,15,15,,,,,,,,,,,,,,,,,,,,,,
5.1,6.158,2.769,0.965,0.696,0.162,13.909,15,,,,,,,,,,,,,,,,,,,,,,
5.2,7.692,4.106,2.006,1.214,0.032,10.883,15,,,,,,,,,,,,,,,,,,,,,,
5.3,9.12,5.342,2.971,1.73,0.009,8.174,15,,,,,,,,,,,,,,,,,,,,,,
5.4,10.396,6.429,3.808,2.174,0.003,6.01,14.63,,,,,,,,,,,,,,,,,,,,,,
5.5,11.535,7.383,4.53,2.55,0.001,4.269,10.752,,,,,,,,,,,,,,,,,,,,,,
5.6,12.549,8.217,5.147,2.859,0.001,2.864,7.625,,,,,,,,,,,,,,,,,,,,,,
5.7,13.434,8.927,5.655,3.089,0.008,1.739,5.108,,,,,,,,,,,,,,,,,,,,,,
5.8,14.211,9.533,6.07,3.254,0.06,0.895,3.135,,,,,,,,,,,,,,,,,,,,,,
5.9,14.984,10.139,6.495,3.453,0.238,0.395,1.715,,,,,,,,,,,,,,,,,,,,,,
6,15,10.838,7.02,3.773,0.578,0.238,0.803,,,,,,,,,,,,,,,,,,,,,,
6.1,15,11.677,7.693,4.26,1.081,0.369,0.31,,,,,,,,,,,,,,,,,,,,,,
6.2,15,12.629,8.485,4.882,1.699,0.688,0.111,,,,,,,,,,,,,,,,,,,,,,
6.3,15,13.591,9.294,5.534,2.325,1.055,0.042,,,,,,,,,,,,,,,,,,,,,,
6.4,15,14.512,10.067,6.162,2.904,1.401,0.018,,,,,,,,,,,,,,,,,,,,,,
6.5,15,15,10.796,6.753,3.428,1.707,0.009,,,,,,,,,,,,,,,,,,,,,,
6.6,15,15,11.486,7.309,3.902,1.977,0.005,,,,,,,,,,,,,,,,,,,,,,
6.7,15,15,12.141,7.835,4.336,2.215,0.003,,,,,,,,,,,,,,,,,,,,,,
6.8,15,15,12.768,8.335,4.734,2.427,0.002,,,,,,,,,,,,,,,,,,,,,,
6.9,15,15,13.37,8.812,5.102,2.617,0.001,,,,,,,,,,,,,,,,,,,,,,
7,15,15,13.951,9.268,5.446,2.791,0.001,,,,,,,,,,,,,,,,,,,,,,
7.1,15,15,14.512,9.707,5.77,2.95,0,,,,,,,,,,,,,,,,,,,,,,
7.2,15,15,15,10.131,6.076,3.099,0,,,,,,,,,,,,,,,,,,,,,,
7.3,15,15,15,10.541,6.367,3.239,0,,,,,,,,,,,,,,,,,,,,,,
7.4,15,15,15,10.94,6.647,3.373,0,,,,,,,,,,,,,,,,,,,,,,
7.5,15,15,15,11.33,6.918,3.502,0,,,,,,,,,,,,,,,,,,,,,,
7.6,15,15,15,11.712,7.182,3.629,0,,,,,,,,,,,,,,,,,,,,,,
7.7,15,15,15,12.089,7.44,3.753,0,,,,,,,,,,,,,,,,,,,,,,
7.8,15,15,15,12.462,7.695,3.878,0,,,,,,,,,,,,,,,,,,,,,,
7.9,15,15,15,12.832,7.947,4.002,0,,,,,,,,,,,,,,,,,,,,,,
8,15,15,15,13.2,8.199,4.128,0,,,,,,,,,,,,,,,,,,,,,,
8.1,15,15,15,13.568,8.45,4.257,0,,,,,,,,,,,,,,,,,,,,,,
8.2,15,15,15,13.935,8.702,4.388,0,,,,,,,,,,,,,,,,,,,,,,
8.3,15,15,15,14.304,8.956,4.523,0,,,,,,,,,,,,,,,,,,,,,,
8.4,15,15,15,14.673,9.211,4.661,0,,,,,,,,,,,,,,,,,,,,,,
8.5,15,15,15,15,9.47,4.804,0,,,,,,,,,,,,,,,,,,,,,,
8.6,15,15,15,15,9.731,4.951,0,,,,,,,,,,,,,,,,,,,,,,
8.7,15,15,15,15,9.996,5.102,0,,,,,,,,,,,,,,,,,,,,,,
8.8,15,15,15,15,10.265,5.258,0,,,,,,,,,,,,,,,,,,,,,,
8.9,15,15,15,15,10.537,5.419,0,,,,,,,,,,,,,,,,,,,,,,
9,15,15,15,15,10.813,5.584,0,,,,,,,,,,,,,,,,,,,,,,
log(T),N0+,N1+,N2+,N3+,N4+,N5+,N6+,N7+,,,,,,,,,,,,,,,,,,,,,
4,0,3.39,14.613,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.1,0.008,1.746,10.223,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.2,0.14,0.559,6.507,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.3,0.68,0.102,4.089,13.747,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.4,1.29,0.024,2.554,9.663,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.5,1.758,0.023,1.476,6.596,15,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.6,2.18,0.095,0.722,4.316,12.687,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.7,2.69,0.318,0.288,2.706,9.065,15,15,15,,,,,,,,,,,,,,,,,,,,,
4.8,3.304,0.681,0.116,1.605,6.337,11.98,15,15,,,,,,,,,,,,,,,,,,,,,
