log(T),Mg0+,Mg1+,Mg2+,Mg3+,Mg4+,Mg5+,Mg6+,Mg7+,Mg8+,Mg9+,Mg10+,Mg11+,Mg12+
7.40,15.000,15.000,15.000,15.000,15.000,15.000,14.448,10.999,7.798,4.987,2.607,1.242,0.027
7.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.734,8.404,5.468,2.973,1.424,0.017
7.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.445,8.988,5.928,3.317,1.592,0.011
7.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.136,9.554,6.371,3.639,1.749,0.008
7.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.809,10.103,6.797,3.946,1.896,0.006
7.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.465,10.639,7.211,4.238,2.035,0.004
8.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.162,7.613,4.520,2.168,0.003
8.10,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.676,8.007,4.794,2.296,0.002
8.20,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.183,8.395,5.063,2.422,0.002
8.30,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.685,8.779,5.328,2.547,0.001
8.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.184,9.160,5.592,2.670,0.001
8.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,13.682,9.542,5.857,2.795,0.001
8.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.181,9.925,6.124,2.921,0.001
8.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,14.682,10.311,6.395,3.049,0.000
8.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,10.701,6.670,3.180,0.000
8.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.096,6.952,3.315,0.000
9.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.497,7.240,3.453,0.000
